Geopolitical entity (reporting),Cities,Rural areas,Towns and suburbs
Austria,7.7,8.0,7.9
Belgium,7.4,7.6,7.7
Bulgaria,5.9,5.1,5.5
Croatia,7.0,6.8,6.7
Cyprus,7.2,7.0,7.3
Czechia,7.4,7.4,7.4
Denmark,7.5,7.7,7.6
EU27,7.2,7.1,7.1
Estonia,7.2,7.2,7.1
Finland,7.8,8.0,7.9
France,7.0,7.0,6.9
Germany,6.6,6.4,6.4
Greece,6.7,6.7,6.8
Hungary,7.0,6.7,6.8
Ireland,7.3,7.5,7.4
Italy,7.2,7.2,7.1
Latvia,6.8,6.8,6.9
Lithuania,7.3,6.9,7.0
Luxembourg,7.0,7.2,7.3
Malta,7.2,7.7,7.5
Netherlands,7.6,7.8,7.8
Norway,7.7,7.7,7.7
Poland,7.6,7.7,7.6
Portugal,7.1,6.8,6.9
Romania,7.9,7.4,7.7
Serbia,6.4,5.8,6.3
Slovakia,7.2,6.9,7.1
Slovenia,7.7,7.5,7.6
Spain,7.2,7.1,7.1
Sweden,7.5,7.6,7.5
Switzerland,7.9,8.2,7.9
